,,mean,mean,mean
,,chamfer_distance,mse,normal_consistency
method,model,,,
Bilateral,real_1,0.0051,0.0001,0.9336
Bilateral,real_2,0.005,0.0001,0.926
Bilateral,real_3,0.0061,0.0001,0.9997
Guided Filter,real_1,0.0012,0.0,0.9861
Guided Filter,real_2,0.0013,0.0,0.9811
Guided Filter,real_3,0.0006,0.0,1.0
Weighted multi projection,real_1,0.0012,0.0,0.9861
Weighted multi projection,real_2,0.0013,0.0,0.9811
Weighted multi projection,real_3,0.0006,0.0,1.0
bipartite_graph_denoising,real_1,0.015,0.001,0.8681
bipartite_graph_denoising,real_2,0.0133,0.0008,0.8891
bipartite_graph_denoising,real_3,0.0258,0.0034,0.8963
